PIQ_ROOT_PROB_OF_START_INDICES,MDS_ROOT_PROB_OF_START_INDICES,LANDMARK_ROOT_PROB_OF_START_INDICES,MINIMUM_MIGRATIONS,TOTAL_MIGRATIONS,AVERAGE_MIGRATIONS,TOTAL_BRANCHLENGTHS,DIMS
9.587379e-5,"Any[0.009221836389811932, 0.004988156731107675, 0.0011302078564197958]","Any[0.0020518886863374794, 0.0031057096429604396, 0.003330990348270153]",4,40860,0.0019893476020175884,2.0539396915129337e7,[25 50 75]
0.99583936,"Any[0.002360250752340414, 5.9571982251492575e-5, 2.9019667470287247e-5]","Any[0.04049306158141503, 0.05181141103513804, 0.05120747570888477]",0,39359,0.0019120470890267628,2.058474408181748e7,[25 50 75]
0.10067823,"Any[0.01144563129665191, 0.012802902237373619, 0.012982856388813604]","Any[0.0032685722381836056, 0.007626269904079034, 0.014310121371081265]",0,40228,0.0019664242266638184,2.045743713616147e7,[25 50 75]
4.875506e-5,"Any[2.2204460492457495e-16, 2.2204460492453822e-16, 2.2204460492453827e-16]","Any[9.427872926469295e-7, 4.351518712811408e-7, 1.8219219221883542e-8]",3,37940,0.0018509225339536494,2.049788648850611e7,[25 50 75]
9.997775e-5,"Any[0.001871615362931642, 0.0019468004496413088, 0.0019523059027417567]","Any[0.0012571537305949485, 0.001781437558858772, 0.002921903336346773]",4,43132,0.002105592349995504,2.0484496916077845e7,[25 50 75]
6.530056e-5,"Any[0.015563499886772022, 0.01494292711209419, 0.015121080215829337]","Any[4.778753312057166e-5, 9.00576762639242e-10, 3.961757750622874e-12]",2,45210,0.0022042862913964423,2.0510039996374026e7,[25 50 75]
9.115574e-5,"Any[2.2204460492453827e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]","Any[2.2236416125710775e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]",1,43026,0.0020989033066723447,2.049927686674358e7,[25 50 75]
7.699267e-5,"Any[1.7187055911721182e-13, 2.2204460492453827e-16, 2.2204460492453822e-16]","Any[0.00691705898112192, 0.008518604750931445, 0.009561379290706457]",1,34709,0.0016935142304493733,2.049525145755048e7,[25 50 75]
0.018268092,"Any[0.0042797833417390916, 0.004414139537797121, 0.0044386697823323665]","Any[0.002518251427937607, 0.003963833928085385, 0.004698703646771812]",0,53048,0.0025873417957882503,2.0502896094498634e7,[25 50 75]
0.016687058,"Any[0.03218729484034471, 0.08033625359726429, 0.20064000181701147]","Any[0.03057736908894984, 0.016280914212766333, 0.012098740375842819]",0,42834,0.0020935667511479614,2.045982053188078e7,[25 50 75]
5.4608856e-5,"Any[0.0015879519625744136, 0.000712073261512106, 0.0006591904503883158]","Any[0.002320734780596428, 0.002665698098175353, 0.002292197722973986]",2,50387,0.0024566411467809735,2.0510525139589038e7,[25 50 75]
0.42960995,"Any[2.136503841390556e-7, 0.036314439688851126, 0.9999999999977796]","Any[0.017096747146326523, 0.02653765701848411, 0.03136887502873508]",0,39663,0.0019382175047520606,2.0463647605470236e7,[25 50 75]
0.9975697,"Any[7.216932926033074e-8, 2.220462816894565e-16, 2.3310052637422734e-16]","Any[0.015617487272674105, 0.025568975504032705, 0.031916265621638976]",0,43805,0.0021461287749027203,2.0411170341810264e7,[25 50 75]
9.909716e-5,"Any[0.0005624170455550222, 0.0003411156292421325, 0.00026579352570446955]","Any[0.0038275290434593586, 0.009134343290963187, 0.010063259259704829]",3,38144,0.0018565977706070653,2.054510707913205e7,[25 50 75]
0.3328944,"Any[0.4238896971573987, 0.44641641658227743, 0.46155558249907613]","Any[0.01833502909834177, 0.06247962275202013, 0.1050629861508019]",0,39774,0.0019427504530698406,2.0473036018162314e7,[25 50 75]
6.8613335e-5,"Any[0.005267759989415047, 0.006187600844569358, 0.0063114035090529805]","Any[0.0018247841264568384, 0.0030493873519371493, 0.0038259760572764943]",3,49295,0.0024109774355210566,2.0446064435831785e7,[25 50 75]
6.929308e-5,"Any[0.029491988378553217, 0.040351065430573915, 0.04165171019117718]","Any[0.008791947472458202, 0.01713889288939241, 0.022455570118736504]",1,40604,0.0019836763389058107,2.0469065040316522e7,[25 50 75]
0.018844625,"Any[0.005970995793585442, 0.006155344703513453, 0.006193934030610977]","Any[8.732061147187485e-5, 1.5133857521089815e-7, 1.178119016061732e-9]",1,51410,0.0025028865894951772,2.0540283453422155e7,[25 50 75]
9.911344e-5,"Any[2.423940530794418e-16, 2.220446151457777e-16, 2.2204460493863684e-16]","Any[0.006176476543243458, 0.01054239445494936, 0.005590388614054984]",3,44233,0.0021612079847389415,2.0466794640934583e7,[25 50 75]
8.989718e-5,"Any[1.5976607270052297e-6, 2.9146384853913766e-7, 2.215536094703624e-6]","Any[5.464809742640369e-7, 2.092908542490743e-9, 6.29560569562071e-14]",1,43852,0.00214278940559578,2.046491357735989e7,[25 50 75]
0.23446082,"Any[2.220485709199209e-16, 2.2204460492453871e-16, 2.220446049246103e-16]","Any[0.007509807782619629, 0.010224928142086798, 0.005317904772403849]",0,38922,0.0019013700644687898,2.047050215386353e7,[25 50 75]
9.125123e-5,"Any[0.006950054858381011, 0.006308644889076282, 0.006094610339541944]","Any[0.014624414453522772, 0.03983777327054669, 0.046515413157364696]",1,41154,0.00200418652166732,2.053401694656804e7,[25 50 75]
9.879623e-5,"Any[0.007565892355353224, 0.007944096690478034, 0.007996626085996687]","Any[0.0029733463872348796, 0.0050891923946503916, 0.0070836438152139065]",2,51033,0.0024958423918844514,2.0447204585489966e7,[25 50 75]
0.9384112,"Any[0.0511543744245302, 0.05986549603365112, 0.06319533598297385]","Any[0.024839179518357637, 0.044625342589810206, 0.061945717548955656]",0,42112,0.0020470831531342972,2.057170952509777e7,[25 50 75]
0.9609465,"Any[0.019916481550958143, 0.02325630891522295, 0.02395402981295121]","Any[0.01029240427506674, 0.015679457962071295, 0.021061642420210927]",0,40579,0.001978856988981767,2.050628227605279e7,[25 50 75]
0.37682378,"Any[0.024311964646104293, 0.026252460749052634, 0.02669411683347739]","Any[0.016212947012647493, 0.026801433860075347, 0.03599480369100737]",0,59985,0.0029162846951503027,2.0568979462037202e7,[25 50 75]
9.450897e-5,"Any[0.005459908633542505, 0.006058971366166158, 0.005894301781473675]","Any[0.0038894894990773557, 0.004920700232770007, 0.00543640081973179]",8,41900,0.0020477005231606866,2.0461976507837243e7,[25 50 75]
8.742447e-5,"Any[2.2204460492453827e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]","Any[2.2204460492456036e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]",1,46822,0.002288818573317123,2.045684203450959e7,[25 50 75]
0.99999666,"Any[0.04901338945957811, 0.06961464396145187, 0.07549182929048331]","Any[0.013824138380377576, 0.02536984476990135, 0.039140331047825605]",0,44822,0.002190495564142941,2.0462036414822493e7,[25 50 75]
0.6689434,"Any[0.0184850912291171, 0.022542361127728668, 0.026217940784525027]","Any[0.007552388546951404, 0.014878487390018702, 0.023665936747954627]",0,43878,0.0021424548615797904,2.048024478221469e7,[25 50 75]
0.53297436,"Any[0.015508484738166982, 0.010647101531555195, 0.0056950192833914405]","Any[0.006697336757106537, 0.015182026735198213, 0.023305665290554407]",0,44874,0.0021895173644637758,2.049492766228409e7,[25 50 75]
9.516603e-5,"Any[0.04091534694457295, 0.00028208773289301525, 0.0001304557869544869]","Any[0.006049292386338238, 0.012459880522023887, 0.020614401616316478]",1,37179,0.0018147719516283807,2.0486871624084543e7,[25 50 75]
9.5703916e-5,"Any[0.003974458808117673, 0.0036943756515264194, 0.003356567638022563]","Any[0.00205684834749838, 0.002933335440960211, 0.0033059250987928306]",8,37629,0.0018350356295073395,2.050586887520131e7,[25 50 75]
9.596826e-5,"Any[0.0025285812174711863, 0.0027947106297271074, 0.0028395703474466314]","Any[0.0009659544481616641, 0.001536579742716505, 0.0018990267024417311]",6,43577,0.0021260280489976678,2.0496907376431234e7,[25 50 75]
0.054234736,"Any[0.01933129243657772, 0.01835033655467736, 0.01726806683911941]","Any[0.018943307482219725, 0.02478379691188446, 0.02583176918042606]",0,33660,0.0016437897595886568,2.0477071233503185e7,[25 50 75]
0.9973576,"Any[0.0002110060223459458, 0.0007211117012500285, 0.0011483046992954032]","Any[0.013267470390920136, 0.01732073621775627, 0.012693877716774939]",0,38732,0.0018820057845344608,2.0580170538413554e7,[25 50 75]
9.9525525e-5,"Any[0.002876085318868484, 0.0028031178843595963, 0.0027708928928231505]","Any[0.002386808067977504, 0.0032531673370736983, 0.0032057867510530895]",5,55416,0.0027110542474450814,2.044075659947582e7,[25 50 75]
9.674833e-5,"Any[0.0027760176224625455, 0.002872818581930752, 0.0028938475607052324]","Any[0.0014990149331520367, 0.002547641124979956, 0.0031441943649982837]",2,37003,0.001800041611079116,2.055674700642997e7,[25 50 75]
0.10466055,"Any[0.052775457236390565, 0.06585291216320552, 0.06777449502643791]","Any[0.01387560571617321, 0.025889513551562476, 0.04177942180011899]",0,44214,0.002161302286748478,2.0457110636993192e7,[25 50 75]
7.380429e-5,"Any[0.0037430002918559767, 0.00399549381584799, 0.004055906126050759]","Any[0.0016243559946500397, 0.0026343566778492355, 0.003210412304163788]",3,43043,0.0020967774257476925,2.0528168355614208e7,[25 50 75]
8.3051484e-5,"Any[0.0070473168496293795, 0.0073905270468511775, 0.007479606506819351]","Any[0.003940955899740774, 0.006935669885113027, 0.011790829747032638]",2,35637,0.001739253956134296,2.048981971511945e7,[25 50 75]
0.029337432,"Any[0.01935556478981414, 0.021722319189150036, 0.021953567674341742]","Any[0.0049797117394985, 0.013362128853620217, 0.018945539524493696]",0,42272,0.002060035143685344,2.0520038276811432e7,[25 50 75]
5.2044445e-5,"Any[0.007119824552056904, 0.008478807265822742, 0.008662312441389406]","Any[0.0021505723145004087, 0.003926090985572916, 0.0051401993359143]",2,48176,0.002346139770656223,2.0534155979345176e7,[25 50 75]
9.601267e-5,"Any[0.008012261307805035, 0.009122682434296253, 0.009754201330717057]","Any[0.0024347793491169274, 0.0030045148881393882, 0.003298959055092154]",10,45078,0.0022081798293224573,2.0414098254774578e7,[25 50 75]
0.16606589,"Any[0.005225069268453536, 1.9299351949305816e-6, 8.828172445254946e-7]","Any[0.038937811128135595, 0.07432803352861114, 0.05907664344426149]",0,42887,0.0020907759862394022,2.051247971196531e7,[25 50 75]
9.429615e-5,"Any[0.0028529909438754185, 0.003564484726637116, 0.003912949738897988]","Any[0.0018599019003464928, 0.00010520745327879118, 1.6966790872110578e-5]",2,35801,0.0017435638020217505,2.0533231969192598e7,[25 50 75]
0.99961466,"Any[0.32061507534744693, 0.4446461515664119, 0.4778475579087562]","Any[0.03447019640477859, 0.05791245343647774, 0.06431674423946816]",0,48040,0.0023447263879507038,2.0488531304493517e7,[25 50 75]
9.555866e-5,"Any[0.0002873365329301626, 0.00025670283415037137, 0.00024920899982937484]","Any[0.0013137836956827779, 0.0005873481904340777, 0.0002276961555789212]",1,48856,0.00238109276333386,2.0518310228113424e7,[25 50 75]
9.596789e-5,"Any[0.0047469673335584755, 0.004884925939564136, 0.004908811959582723]","Any[0.0033308190675605783, 0.005577893163854765, 0.006929388594194033]",5,38138,0.0018568584783178958,2.0538991229180116e7,[25 50 75]
9.3292634e-5,"Any[0.0005380561351176315, 1.7364901614553086e-5, 4.663357321195637e-6]","Any[0.001327052388836909, 5.240907091446383e-5, 6.681142660602361e-7]",1,46403,0.0022709630871992517,2.0433181085839752e7,[25 50 75]
